origin,destination,date,flight_name,airplane_name,from_time,to_time,stops,duration,cabin,price
CAI,MIL,2026-05-05,Multiple airlines,,10:15 pm,"8:05 am
+1",2 stops,10h 50m,Economy Cabin + Economy Basic + Economy,2190.0
CAI,MIL,2026-05-05,"Egyptair, Lufthansa",,10:15 pm,"8:05 am
+1",2 stops,10h 50m,Economy Cabin + Economy Basic,2190.0
CAI,MIL,2026-05-05,"Egyptair, Lufthansa",,9:45 pm,"8:05 am
+1",2 stops,11h 20m,Economy Cabin + Economy Basic,2191.0
CAI,MIL,2026-05-05,Multiple airlines,,9:45 pm,"8:05 am
+1",2 stops,11h 20m,Economy Cabin + Economy Basic + Economy,2191.0
CAI,MIL,2026-05-05,"Egyptair, Lufthansa",,10:15 pm,"9:10 am
+1",2 stops,11h 55m,Economy Cabin + Economy Basic,2175.0
CAI,MIL,2026-05-05,Multiple airlines,,10:15 pm,"10:40 am
+1",2 stops,13h 25m,Promotion + Economy Basic + Economy Cabin,1766.0
CAI,MIL,2026-05-05,Multiple airlines,,10:15 pm,"12:00 pm
+1",2 stops,14h 45m,Promotion + Economy Basic + Economy,1043.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,10:15 pm,"12:00 pm
+1",2 stops,14h 45m,Economy Cabin + Economy Basic,1043.0
CAI,MIL,2026-05-05,Multiple airlines,,9:45 pm,"10:40 am
+1",2 stops,13h 55m,Promotion + Economy Basic + Economy Cabin,1766.0
CAI,MIL,2026-05-05,Multiple airlines,,9:45 pm,"12:00 pm
+1",2 stops,15h 15m,Promotion + Economy Basic + Economy,1043.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,9:45 pm,"12:00 pm
+1",2 stops,15h 15m,Economy Cabin + Economy Basic,1043.0
MIL,CAI,2026-05-05,Air Cairo,,6:00 pm,10:45 pm,nonstop,3h 45m,Economy Cabin,133.0
MIL,CAI,2026-05-05,Egyptair,,5:50 pm,10:30 pm,nonstop,3h 40m,Economy Cabin,229.0
MIL,CAI,2026-05-05,Egyptair,,2:30 pm,7:10 pm,nonstop,3h 40m,Economy Cabin,265.0
MIL,CAI,2026-05-05,Air Cairo,,5:50 pm,10:30 pm,nonstop,3h 40m,Economy Cabin,470.0
MIL,CAI,2026-05-05,Air Cairo,,2:30 pm,7:10 pm,nonstop,3h 40m,Economy Cabin,534.0
MIL,CAI,2026-05-05,ITA Airways,,7:00 pm,"2:15 am
+1",1 stop,6h 15m,Economy Cabin,253.0
MIL,CAI,2026-05-05,Turkish Airlines,,7:45 pm,"4:20 am
+1",1 stop,7h 35m,Promotion,248.0
MIL,CAI,2026-05-05,ITA Airways,,6:00 pm,"2:15 am
+1",1 stop,7h 15m,Economy Cabin,253.0
MIL,CAI,2026-05-05,Turkish Airlines,,2:55 pm,11:45 pm,1 stop,7h 50m,Promotion,249.0
MIL,CAI,2026-05-05,Aegean Airlines,,7:25 pm,"2:50 am
+1",1 stop,6h 25m,Economy Cabin,309.0
MIL,CAI,2026-05-05,ITA Airways,,5:00 pm,"2:15 am
+1",1 stop,8h 15m,Economy Cabin,253.0
MIL,CAI,2026-05-05,LOT,,7:40 pm,"3:55 am
+1",1 stop,7h 15m,Economy Saver,379.0
MIL,CAI,2026-05-05,ITA Airways,,4:00 pm,"2:15 am
+1",1 stop,9h 15m,Economy Cabin,269.0
MIL,CAI,2026-05-05,ITA Airways,,3:00 pm,"2:15 am
+1",1 stop,10h 15m,Economy Cabin,269.0
